did, subsize,NumberOfInstances,LogNumberOfInstances,NumberOfFeatures,LogNumberOfFeatures,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,NumberOfClasses,NumberOfCategoricalFeatures,NumberOfNumericFeatures,RatioNumericalToNominal,RatioNominalToNumerical,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,SimpleFeatureTime,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,KurtosisKurtosis,KurtosisSkewness,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,SkewnessKurtosis,SkewnessSkewness,MeanSTDOfNumerical,STDSTDOfNumerical,StatisticalFeatureTime,ClassEntropy,MeanFeatureEntropy,MeanMutualInformation,NoiseToSignalRatio,InformationFeatureTime,DecisionTreeGiniDepth1Accuracy,DecisionTreeGiniDepth1TimeSum,DecisionTreeGiniDepth1TimeMean,DecisionTreeEntropyDepth1Accuracy,DecisionTreeEntropyDepth1TimeSum,DecisionTreeEntropyDepth1TimeMean,DecisionTreeGiniDepth2Accuracy,DecisionTreeGiniDepth2TimeSum,DecisionTreeGiniDepth2TimeMean,DecisionTreeEntropyDepth2Accuracy,DecisionTreeEntropyDepth2TimeSum,DecisionTreeEntropyDepth2TimeMean,DecisionTreeGiniDepth4Accuracy,DecisionTreeGiniDepth4TimeSum,DecisionTreeGiniDepth4TimeMean,DecisionTreeEntropyDepth4Accuracy,DecisionTreeEntropyDepth4TimeSum,DecisionTreeEntropyDepth4TimeMean,DecisionTreeGiniAccuracy,DecisionTreeGiniTimeSum,DecisionTreeGiniTimeMean,GaussianNBAccuracy,GaussianNBTimeSum,GaussianNBTimeMean,1NNAccuracy,1NNTimeSum,1NNTimeMean,SubsampleRandomForestAccuracy,SubsampleRandomForestMeanTime,SubsampleSVCAccuracy,SubsampleSVCMeanTime,SubsampleBoostingAccuracy,SubsampleBoostingMeanTime,RandomForestClassifier,SVC,DecisionTreeClassifier,GaussianNB,GradientBoostingClassifier,<lambda>,KNeighborsClassifier
1505,0.1,4578,8.42901750051,3,1.09861228867,0.000655307994758,-7.33040521184,1526.0,7.33040521184,20,1,2,2.0,0.5,0.0305810397554,0.0635648754915,0.05,0.0157927716107,31,31,31.0,0.0,31,0.0,-1.18457450693,-1.18437100219,-1.18447275456,0.000101752372367,-2.0,0.0,-0.000246798677836,0.0267119109631,0.0132325561426,0.0134793548204,-2.0,0.0,0.288784,0.000243336,0.01,4.24518616059,8.21999,2.94253881817,1.79350225465,0.0,0.126775956284,0.05,0.005,0.126775956284,0.18,0.018,0.223387978142,0.04,0.004,0.252459016393,0.27,0.027,0.480655737705,0.05,0.005,0.66349726776,0.39,0.039,1.0,0.1,0.01,0.687759562842,0.06,0.006,1.0,0.07,0.007,0.560416666667,0.03,1.0,0.014,1.0,1.585,0.08,0.15,0.01,0.01,10.72,13.76,0.03
1505,0.2,9156,9.12216468107,3,1.09861228867,0.000327653997379,-8.0235523924,3052.0,8.0235523924,20,1,2,2.0,0.5,0.0304718217562,0.0634556574924,0.05,0.0157593133285,31,31,31.0,0.0,31,0.01,-1.20001994432,-1.1842731752,-1.19214655976,0.00787338455989,-2.0,4.23019643833e-14,0.00521530164406,0.013667024672,0.00944116315804,0.00422586151399,-2.0,0.0,0.289281,0.000499681,0.04,4.24552557683,8.9127,2.94277408358,2.02867146155,0.04,0.126229508197,0.58,0.058,0.126229508197,1.22,0.122,0.225136612022,0.07,0.007,0.252459016393,0.59,0.059,0.476448087432,0.12,0.012,0.665355191257,0.8,0.08,1.0,0.19,0.019,0.678360655738,0.1,0.01,1.0,0.16,0.016,0.560416666667,0.03,1.0,0.014,1.0,1.585,0.17,0.31,0.02,0.01,20.8,31.09,0.18
1505,0.3,13732,9.52748415458,3,1.09861228867,0.000218467812409,-8.42887186591,4577.33333333,8.42887186591,20,1,2,2.0,0.5,0.0305126711331,0.0635013108069,0.05,0.0157740787145,31,31,31.0,0.0,31,0.03,-1.19562790354,-1.19493618057,-1.19528204206,0.000345861485946,-2.0,-9.63057172885e-13,-0.00348282116465,-0.000997102819383,-0.00223996199202,0.00124285917263,-2.0,0.0,0.289006,0.000306591,0.07,4.2453760427,9.31995,2.94267043441,2.16717427639,0.05,0.126411657559,1.06,0.106,0.126411657559,0.61,0.061,0.224335154827,0.13,0.013,0.252094717668,0.85,0.085,0.47985428051,0.19,0.019,0.662987249545,1.17,0.117,1.0,0.26,0.026,0.683825136612,0.12,0.012,1.0,0.27,0.027,0.560416666667,0.03,1.0,0.014,1.0,1.585,0.23,0.64,0.05,0.01,30.84,41.19,0.18
1505,0.4,18312,9.81531186163,3,1.09861228867,0.000163826998689,-8.71669957296,6104.0,8.71669957296,20,1,2,2.0,0.5,0.0305264307558,0.0634556574924,0.05,0.0157702470588,31,31,31.0,0.0,31,0.03,-1.19916748131,-1.19228880805,-1.19572814468,0.00343933663061,-2.0,0.0,-0.00335853965953,-0.00108921597712,-0.00222387781832,0.00113466184121,-2.0,0.0,0.288769,0.000316679,0.05,4.24541469857,9.60937,2.94269722862,2.26549807622,0.05,0.126468178093,1.14,0.114,0.126468178093,0.89,0.089,0.22146954384,0.15,0.015,0.252390057361,1.14,0.114,0.472548484021,0.23,0.023,0.658563234089,1.55,0.155,1.0,0.39,0.039,0.690576345261,0.17,0.017,1.0,0.39,0.039,0.560416666667,0.03,1.0,0.014,1.0,1.585,0.34,0.6,0.05,0.01,40.92,71.59,0.47
1505,0.5,22886,10.0382806489,3,1.09861228867,0.000131084505811,-8.93966836021,7628.66666667,8.93966836021,20,1,2,2.0,0.5,0.0304989950188,0.063488595648,0.05,0.0157749012391,31,31,31.0,0.0,31,0.04,-1.20045536664,-1.19441883752,-1.19743710208,0.00301826456269,-2.0,0.0,-0.00680585158989,-0.00319420848973,-0.00500003003981,0.00180582155008,-2.0,0.0,0.288864,0.000578523,0.07,4.24536758943,9.83253,2.94266457505,2.34136832663,0.08,0.126474442988,1.98,0.198,0.126692878986,0.99,0.099,0.221603320227,0.18,0.018,0.25251201398,1.4,0.14,0.472324159021,0.31,0.031,0.658606378331,1.95,0.195,1.0,0.48,0.048,0.690672782875,0.18,0.018,1.0,0.53,0.053,0.560416666667,0.03,1.0,0.014,1.0,1.585,0.43,0.77,0.06,0.02,52.08,88.72,0.72
1505,0.6,27469,10.2208133751,3,1.09861228867,0.000109214023081,-9.12220108641,9156.33333333,9.12220108641,20,1,2,2.0,0.5,0.0305071171138,0.0634897520842,0.05,0.0157676099199,31,31,31.0,0.0,31,0.06,-1.20103241157,-1.19437628378,-1.19770434767,0.0033280638927,-2.0,-9.99932221068e-14,-0.00462072342634,0.00199723010883,-0.00131174665876,0.00330897676758,-2.0,0.0,0.288978,0.00049153,0.07,4.24544176157,10.0154,2.94271598726,2.40344476531,0.08,0.126478616924,1.24,0.124,0.126478616924,1.08,0.108,0.221838034577,0.23,0.023,0.252229299363,1.68,0.168,0.472138307552,0.37,0.037,0.655541401274,2.33,0.233,1.0,0.58,0.058,0.693648771611,0.22,0.022,1.0,0.69,0.069,0.560416666667,0.03,1.0,0.014,1.0,1.585,0.44,0.97,0.07,0.02,63.73,106.12,0.95
1505,0.7,32046,10.3749276496,3,1.09861228867,9.36154278225e-05,-9.2763153609,10682.0,9.2763153609,20,1,2,2.0,0.5,0.0305186294701,0.0634712600637,0.05,0.0157703118927,31,31,31.0,0.0,31,0.05,-1.20058073388,-1.19485742892,-1.1977190814,0.00286165248401,-2.0,1.16412689004e-13,-0.00473728915676,0.00165240536444,-0.00154244189616,0.0031948472606,-2.0,0.0,0.288983,0.000439018,0.0700000000001,4.24541405213,10.1696,2.94269678054,2.45587618324,0.11,0.126540801997,0.67,0.067,0.126540801997,1.26,0.126,0.221095334686,0.26,0.026,0.252301451084,1.94,0.194,0.471711655484,0.44,0.044,0.654641909814,2.69,0.269,1.0,0.66,0.066,0.696816976127,0.25,0.025,1.0,0.85,0.085,0.560416666667,0.03,1.0,0.014,1.0,1.585,0.57,1.11,0.09,0.00999999999999,72.71,86.89,0.72
1505,0.8,36625,10.5084863463,3,1.09861228867,8.19112627986e-05,-9.40987405765,12208.3333333,9.40987405765,20,1,2,2.0,0.5,0.0305255972696,0.0634812286689,0.05,0.0157710060065,31,31,31.0,0.0,31,0.05,-1.19671443371,-1.19612165509,-1.1964180444,0.000296389307017,-2.0,0.0,-0.00777962384745,-0.00184941187035,-0.0048145178589,0.00296510598855,-2.0,0.0,0.288847,0.00016059,0.05,4.24540722168,10.3036,2.94269204603,2.50141433002,0.0799999999999,0.126552901024,0.93,0.093,0.126552901024,1.37,0.137,0.220614334471,0.3,0.03,0.25228668942,2.23,0.223,0.469993174061,0.51,0.051,0.648914675768,3.08,0.308,1.0,0.8,0.08,0.698266211604,0.27,0.027,1.0,1.06,0.106,0.560416666667,0.03,1.0,0.014,1.0,1.585,0.75,1.29,0.09,0.02,83.79,100.82,0.88
1505,0.9,41200,10.6261935353,3,1.09861228867,7.28155339806e-05,-9.52758124667,13733.3333333,9.52758124667,20,1,2,2.0,0.5,0.0305097087379,0.0634708737864,0.05,0.015769085168,31,31,31.0,0.0,31,0.0400000000001,-1.19794720013,-1.1976689875,-1.19780809381,0.000139106312718,-2.0,2.3942390743e-12,-0.008514999412,-0.0019605467096,-0.0052377730608,0.0032772263512,-2.0,0.0,0.28884,0.000264943,0.0599999999999,4.24542655805,10.4214,2.94270544898,2.54144861087,0.1,0.126562310399,1.37,0.137,0.126562310399,1.58,0.158,0.22000970756,0.32,0.032,0.252396553816,2.46,0.246,0.470149253731,0.56,0.056,0.652348016017,3.43,0.343,1.0,0.89,0.089,0.701055697124,0.32,0.032,1.0,1.21,0.121,0.560416666667,0.03,1.0,0.014,1.0,1.585,0.85,1.4,0.11,0.02,93.68,157.81,1.82
1505,1.0,45781,10.7316244369,3,1.09861228867,6.55293680785e-05,-9.6330121482,15260.3333333,9.6330121482,20,1,2,2.0,0.5,0.0305148424019,0.0634761145453,0.05,0.0157686612799,31,31,31.0,0.0,31,0.04,-1.20018357572,-1.19995788545,-1.20007073059,0.000112845133863,-2.0,0.0,-0.00818413123488,-0.00122929119971,-0.0047067112173,0.00347742001759,-2.0,0.0,0.288977,0.000321463,0.0900000000001,4.2454309657,10.5267,2.94270850413,2.57721369413,0.0999999999999,0.126474442988,0.22,0.022,0.126474442988,1.67,0.167,0.219571865443,0.36,0.036,0.252293577982,2.65,0.265,0.471100917431,0.67,0.067,0.642245522062,3.77,0.377,1.0,1.0,0.1,0.700393184797,0.36,0.036,1.0,1.42,0.142,0.560416666667,0.03,1.0,0.014,1.0,1.585,0.75,1.47,0.11,0.02,101.45,174.46,2.29
